SNP,time,gap,opt,status,formula,TP,FP,FN,TN,numSegments,Pos,Neg,PredPos,PredNeg,Correct,Incorrect,Total,TPR,TNR,PPV,NPV,Accuracy,OR,F1,Jaccard,MCC,LogChiSquaredP,LogFisherExactP,LogCMHExactP,bestSingle,bestSingleStat,computedBounds
SNP1,NA,NA,-8,infeasible,,2496,2504,0,0,47,2496,2504,5000,0,2496,2504,5000,1,0,0.4992,NA,0.4992,NA,0.6659551760939167,0.4992,NA,NA,0,NA,p2,-2.5389174679890774,NA
SNP2,NA,NA,280,optimal,(p3 OR p5)  AND  (p1 OR p3 OR p4)  AND  (p1 OR p2),1431,1194,1166,1209,50,2597,2403,2625,2375,2640,2360,5000,0.5510204081632653,0.5031210986267166,0.5451428571428572,0.5090526315789474,0.528,1.242690726359068,0.5480658751436231,0.37747296227908206,0.05416849103139178,-8.96354323425706,-9.544393870908845,-6.395134066299769,p1,-5.606007522341018,NA
SNP3,NA,NA,214,infeasible,,2607,2393,0,0,49,2607,2393,5000,0,2607,2393,5000,1,0,0.5214,NA,0.5214,NA,0.6854213224661496,0.5214,NA,NA,0,NA,p4,-1.7693714524422126,NA
